"LIST_CODE_ID","LIST_TYPE_ID","CODE","NAME"
"A3N","N","G57.8","INNE MONONEUROPATIE KOŃCZYNY DOLNEJ"
"A3N","N","G57.9","MONONEUROPATIA KOŃCZYNY DOLNEJ, NIE OKREŚLONA"
"A3N","N","G58.0","NEUROPATIA MIĘDZYŻEBROWA"
"A3N","N","G58.7","MNOGIE ZAPALENIE POJEDYNCZYCH NERWÓW"
"A3N","N","G58.8","INNE OKREŚLONE MONONEUROPATIE"
"A3N","N","G58.9","MONONEUROPATIA, NIE OKREŚLONA"
"A3N","N","G59.0","MONONEUROPATIA CUKRZYCOWA (E10-E14+ ZWYKLE ZE WSPÓLNYM CZWARTYM ZNAKIEM KODU .4)"
"A3N","N","G59.8","INNE MONONEUROPATIE W CHOROBACH SKLASYFIKOWANYCH GDZIE INDZIEJ"
"A3N","N","G60.0","DZIEDZICZNA NEUROPATIA RUCHOWA I CZUCIOWA"
"A3N","N","G60.1","CHOROBA REFSUMA"
"A3N","N","G60.2","NEUROPATIA Z TOWARZYSZĄCA DZIEDZICZNĄ ATAKSJĄ"
"A3N","N","G60.3","NEUROPATIA SAMOISTNA POSTĘPUJĄCA"
"A3N","N","G60.4","INNE NEUROPATIE DZIEDZICZNE I SAMOISTNE"
"A3N","N","G60.9","NEUROPATIA SAMOISTNA I DZIEDZICZNA, NIE OKREŚLONA"
"A3N","N","G61.0","ZESPÓŁ GULLAINA-BARREGO"
"A3N","N","G61.1","NEUROPATIA SUROWICZA"
"A3N","N","G61.8","INNE POLINEUROPATIE ZAKAŹNE"
"A3N","N","G61.9","POLINEUROPATIA ZAKAŹNA, NIE OKREŚLONA"
"A3N","N","G62.0","POLINEUROPATIA WYWOŁANA PRZEZ LEKI"
"A3N","N","G62.1","POLINEUROPATIA ALKOHOLOWA"
"A3N","N","G62.2","POLINEUROPATIA WYWOŁANA INNYMI CZYNNIKAMI TOKSYCZNYMI"
"A3N","N","G62.8","INNE OKREŚLONE POLINEUROPATIE"
"A3N","N","G62.9","POLINEUROPATIA, NIE OKREŚLONA"
"A3N","N","G63.0","POLINEUROPATIA W CHOROBACH ZAKAŹNYCH I PASOŻYTNICZYCH SKLASYFIKOWANYCH GDZIE INDZIEJ"
"A3N","N","G63.1","POLINEUROPATIA W CHOROBACH NOWOTWOROWYCH (C00-D48+)"
"A3N","N","G63.2","POLINEUROPATIA CUKRZYCOWA (E10-E14+ ZWYKLE ZE WSPÓLNYM CZWARTYM ZNAKIEM KODU .4)"
"A3N","N","G63.3","POLINEUROPATIA W INNYCH CHOROBACH UKŁADU WEWNĄTRZWYDZIELNICZEGO I METABOLICZNYCH (E00-E07+, E15-E16+, E20-E34+, E70-E89+)"
"A3N","N","G63.4","POLINEUROPATIA W NIEDOBORACH ZYWIENIOWYCH (E40-E64+)"
"A3N","N","G63.5","POLINEUROPATIA W UKŁADOWYCH STANACH CHOROBOWYCH TKANKI ŁĄCZNEJ (M30-M35+)"
"A3N","N","G63.6","POLINEUROPATIA W INNYCH ZABURZENIACH UKŁADU KOSTNO-MIĘŚNIOWEGO (M00-M25+, M40-M96+)"
"A3N","N","G63.8","POLINEUROPATIA W INNYCH CHOROBACH SKLASYFIKOWANYCH GDZIE INDZIEJ"
"A3N","N","G64","INNE ZABURZENIA OBWODOWEGO UKŁADU NERWOWEGO"
"A3N","N","G70.1","TOKSYCZNE ZABURZENIA NERWOWO-MIĘŚNIOWE"
"A3N","N","G70.8","INNE OKREŚLONE ZABURZENIA MIĘŚNIOWO-NERWOWE"
"A3N","N","G70.9","ZABURZENIA MIĘŚNIOWO-NERWOWE, NIE OKREŚLONE"
"A3N","N","G83.4","ZESPÓŁ OGONA KOŃSKIEGO"
"A3N","N","G90.0","SAMOISTNA OBWODOWA NEUROPATIA WEGETATYWNA"
"A3N","N","G90.2","ZESPÓŁ HORNERA"
"A3N","N","G90.8","INNE ZABURZENIA UKŁADU WEGETATYWNEGO"
"A3N","N","G90.9","ZABURZENIE UKŁADU WEGETATYWNEGO, NIE OKREŚLONE"
"A3N","N","G99.0","NEUROPATIA WEGETATYWNA W CHOROBACH UKŁADU WEWNĄTRZWYDZIELNICZEGO I METABOLICZNYCH"
"A3N","N","M79.2","NERWOBÓL /NEURALGIA/ I ZAPALENIE NERWÓW, NIE OKREŚLONE"
"A3N","N","R20.0","BRAK CZUCIA"
"A3N","N","R20.1","HYPOESTHESIA"
"A3N","N","R20.2","PARESTEZJE"
"A3N","N","R20.3","PRZECZULICA"
"A3N","N","R20.8","INNE I NIEOKREŚLONE ZABURZENIA CZUCIA SKÓRNEGO"
"A3N","N","S02.0","ZŁAMANIE KOŚCI SKLEPIENIA CZASZKI"
"A3N","N","S02.1","ZŁAMANIE KOŚCI PODSTAWY CZASZKI"
"A3N","N","S02.2","ZŁAMANIE KOŚCI NOSOWYCH"
"A3N","N","S02.6","ZŁAMANIE ŻUCHWY"
"A3N","N","S02.7","WIELOKROTNE ZŁAMAŃIA KOŚCI CZASZKI I TWARZOCZASZKI"
"A3N","N","S02.8","ZŁAMANIE INNYCH KOŚCI CZASZKI I TWARZOCZASZKI"
"A3N","N","S02.9","ZŁAMANIE KOŚCI CZASZKI I TWARZOCZASZKI, CZĘŚĆ NIEOKREŚLONA"
"A3N","N","S04.0","URAZ NERWU I DRÓG WZROKOWYCH"
"A3N","N","S06.0","WSTRZĄŚNIENIE"
"A3N","N","S06.1","URAZOWY OBRZĘK MÓZGU"
"A3N","N","S06.2","ROZLANY URAZ MÓZGU"
"A3N","N","S06.3","OGNISKOWY URAZ MÓZGU"
"A3N","N","S06.4","KRWOTOK NADTWARDÓWKOWY"
"A3N","N","S06.5","URAZOWY KRWOTOK PODTWARDÓWKOWY"
"A3N","N","S06.6","URAZOWY KRWOTOK PODPAJĘCZYNÓWKOWY"
"A3N","N","S06.7","URAZ SRÓDCZASZKOWY Z DŁUGOTRWAŁYM OKRESEM NIEPRZYTOMNOŚCI"
"A3N","N","S06.8","INNE URAZY SRÓDCZASZKOWE"
"A3N","N","S06.9","URAZ SRÓDCZASZKOWY, NIE OKREŚLONY"
"A3N","N","S07.1","URAZ ZMIAŻDŻENIOWY CZASZKI"
"A3N","N","S09.7","LICZNE URAZY GŁOWY"
"A3N","N","S09.8","INNE OKREŚLONE URAZY GŁOWY"
"A3N","N","S09.9","NIEOKREŚLONY URAZ GŁOWY"
"A3N","N","S14.2","URAZ KORZENI NERWOWYCH NERWÓW ODCINKA SZYJNEGO RDZENIA KRĘGOWEGO"
"A3N","N","S14.5","URAZ NERWÓW UKŁADU SYMPATYCZNEGO SZYI"
"A3N","N","S24.3","URAZ OBWODOWYCH NERWÓW KLATKI PIERSIOWEJ"
"A3N","N","S24.4","URAZ NERWÓW UKŁADU SYMPATYCZNEGO KLATKI PIERSIOWEJ"
"A3N","N","S24.5","URAZ INNYCH NERWÓW KLATKI PIERSIOWEJ"
"A3N","N","S24.6","URAZ NIEOKREŚLONEGO NERWU KLATKI PIERSIOWEJ"
"A3N","N","S34.2","URAZ NERWÓW RDZENIOWYCH ODCINKA LĘDŹWIOWEGO I KRZYŻOWEGO KRĘGOSŁUPA"
"A3N","N","S34.5","URAZ NERWÓW UKŁADU SYMPATYCZNEGO CZĘŚCI LĘDŹWIOWEJ, KRZYŻOWEJ I MIEDNICZNEJ KRĘGOSŁUPA"
"A3N","N","S34.6","URAZ OBWODOWEGO NERWU (NERWÓW) BRZUCHA, DOLNEJ CZĘŚCI GRZBIETU I MIEDNICY"
"A3N","N","S34.8","URAZ INNYCH I NIEOKREŚLONYCH NERWÓW NA POZIOMIE BRZUCHA, DOLNEJ CZĘŚCI GRZBIETU I MIEDNICY"
"A3N","N","S44.0","URAZ NERWU ŁOKCIOWEGO NA POZIOMIE RAMIENIA"
"A3N","N","S44.1","URAZ NERWU POŚRODKOWEGO NA POZIOMIE RAMIENIA"
"A3N","N","S44.2","URAZ NERWU PROMIENIOWEGO NA POZIOMIE RAMIENIA"
"A3N","N","S44.3","URAZ NERWU PACHOWEGO"
"A3N","N","S44.4","URAZ NERWU MIĘŚNIOWO-SKÓRNEGO"
"A3N","N","S44.5","URAZ NERWU CZUCIOWEGO NA POZIOMIE BARKU I RAMIENIA"
"A3N","N","S44.7","URAZ WIELU NERWÓW NA POZIOMIE BARKU I RAMIENIA"
"A3N","N","S44.8","URAZ INNYCH NERWÓW NA POZIOMIE BARKU I RAMIENIA"
"A3N","N","S44.9","URAZ NIEOKREŚLONEGO NERWU NA POZIOMIE BARKU I RAMIENIA"
"A3N","N","S54.0","URAZ NERWU ŁOKCIOWEGO NA POZIOMIE PRZEDRAMIENIA"
"A3N","N","S54.1","URAZ NERWU POŚRODKOWEGO NA POZIOMIE PRZEDRAMIENIA"
"A3N","N","S54.2","URAZ NERWU PROMIENIOWEGO NA POZIOMIE PRZEDRAMIENIA"
"A3N","N","S54.3","URAZ NERWÓW CZUCIOWYCH SKÓRNYCH NA POZIOMIE PRZEDRAMIENIA"
"A3N","N","S54.7","URAZ LICZNYCH NERWÓW NA POZIOMIE PRZEDRAMIENIA"
"A3N","N","S54.8","URAZ INNYCH NERWÓW NA POZIOMIE PRZEDRAMIENIA"
"A3N","N","S54.9","URAZ NIEOKREŚLONEGO NERWU NA POZIOMIE PRZEDRAMIENIA"
"A3N","N","S64.0","URAZ NERWU ŁOKCIOWEGO NA POZIOMIE NADGARSTKA I RĘKI"
"A3N","N","S64.1","URAZ NERWU POŚRODKOWEGO NA POZIOMIE NADGARSTKA I RĘKI"
"A3N","N","S64.2","URAZ GAŁEZI POWIERZCHOWNEJ NERWU PROMIENIOWEGO NA POZIOMIE NADGARSTKA I RĘKI"
"A3N","N","S64.3","URAZ NERWU KCIUKA"
"A3N","N","S64.4","URAZ NERWU INNEGO PALCA"
"A3N","N","S64.7","URAZ MNOGICH NERWÓW NA POZIOMIE NADGARSTKA I RĘKI"
"A3N","N","S64.8","URAZ INNYCH NERWÓW NA POZIOMIE NADGARSTKA I RĘKI"
"A3N","N","S64.9","URAZ NIEOKREŚLONEGO NERWU NA POZIOMIE NADGARSTKA I RĘKI"
"A3N","N","S74.0","URAZ NERWU KULSZOWEGO NA POZIOMIE BIODRA I UDA"
"A3N","N","S74.1","URAZ NERWU UDOWEGO NA POZIOMIE BIODRA I UDA"
"A3N","N","S74.2","URAZ NERWU SKÓRNEGO CZUCIOWEGO NA POZIOMIE BIODRA I UDA"
"A3N","N","S74.7","URAZ MNOGICH NERWÓW NA POZIOMIE BIODRA I UDA"
"A3N","N","S74.8","URAZ INNYCH NERWÓW NA POZIOMIE BIODRA I UDA"
"A3N","N","S74.9","URAZ NIEOKREŚLONEGO NERWU NA POZIOMIE BIODRA I UDA"
"A3N","N","S84.0","URAZ NERWU PISZCZELOWEGO NA POZIOMIE PODUDZIA"
"A3N","N","S84.1","URAZ NERWU STRZAŁKOWEGO WSPÓLNEGO (POWIERZCHOWNEGO) (GŁĘBOKIEGO) NA POZIOMIE PODUDZIA"
"A3N","N","S84.2","URAZ CZUCIOWEGO NERWU SKÓRNEGO NA POZIOMIE PODUDZIA"
"A3N","N","S84.7","URAZ LICZNYCH NERWÓW NA POZIOMIE PODUDZIA"
"A3N","N","S84.8","URAZ INNYCH NERWÓW NA POZIOMIE PODUDZIA"
"A3N","N","S84.9","URAZ NIEOKREŚLONEGO NERWU NA POZIOMIE PODUDZIA"
"A3N","N","S94.0","URAZ NERWU PODESZWOWEGO BOCZNEGO"
"A3N","N","S94.1","URAZ NERWU PODESZWOWEGO PRZYŚRODKOWEGO"
"A3N","N","S94.2","URAZ NERWU STRZAŁKOWEGO GŁĘBOKIEGO NA POZIOMIE STAWU SKOKOWEGO"
"A3N","N","S94.3","URAZ NERWU SKÓRNEGO NA POZIOMIE STAWU SKOKOWEGO I STOPY"
"A3N","N","S94.7","URAZ MNOGICH NERWÓW NA POZIOMIE STAWU SKOKOWEGO I STOPY"
"A3N","N","S94.8","URAZ INNYCH NERWÓW NA POZIOMIE STAWU SKOKOWEGO I STOPY"
"A3N","N","S94.9","URAZ NIEOKREŚLONEGO NERWU NA POZIOMIE STAWU SKOKOWEGO I STOPY"
"A3N","N","T02.0","ZŁAMAŃIA OBEJMUJĄCE GŁOWĘ I SZYJĘ"
"A3N","N","T06.0","URAZY MÓZGU I NERWÓW CZASZKOWYCH Z OBRAŻENIAMI NERWÓW RDZENIOWYCH I RDZENIA KRĘGOWEGO NA POZIOMIE SZYI"
"A3N","N","T06.1","URAZY NERWÓW RDZENIOWYCH I RDZENIA KRĘGOWEGO OBEJMUJĄCE INNE LICZNE OKOLICE CIAŁA"
"A3N","N","T06.2","URAZY NERWÓW OBEJMUJĄCE LICZNE OKOLICE CIAŁA"
"A3N","N","T09.4","URAZ NIEOKREŚLONEGO NERWU, NERWU RDZENIOWEGO I SPLOTU TUŁOWIA"
"A3N","N","T11.3","URAZ NIEOKREŚLONEGO NERWU KOŃCZYNY GÓRNEJ, POZIOM NIEOKREŚLONY"
"A3N","N","T13.3","URAZ NIEOKREŚLONEGO NERWU KOŃCZYNY DOLNEJ, POZIOM NIEOKREŚLONY"
"A3N","N","T14.4","URAZ NERWU (NERWÓW) NIEOKREŚLONEJ OKOLICY CIAŁA"
"A3N","N","T90.5","NASTĘPSTWA URAZU ŚRÓDCZASZKOWEGO"
"A30","H","G61.0","ZESPÓŁ GULLAINA-BARREGO"
"A30","H","G61.8","INNE POLINEUROPATIE ZAKAŹNE"
"A30","H","G61.9","POLINEUROPATIA ZAKAŹNA, NIE OKREŚLONA"
"A30","H","G62.0","POLINEUROPATIA WYWOŁANA PRZEZ LEKI"
"A30","H","G62.2","POLINEUROPATIA WYWOŁANA INNYMI CZYNNIKAMI TOKSYCZNYMI"
"A30","H","G62.8","INNE OKREŚLONE POLINEUROPATIE"
"A30","H","G62.9","POLINEUROPATIA, NIE OKREŚLONA"
"A30","H","G70.0","MIASTENIA CIĘŻKA RZEKOMOPORAŹNA"
"A30","H","G70.2","MIASTENIA WRODZONA I WIEKU ROZWOJOWEGO"
"A30","H","G71.0","DYSTROFIA MIĘŚNIOWA"
"A30","H","G71.1","ZABURZENIA MIOTONICZNE"
"A30","H","G71.2","MIOPATIE WRODZONE"
"A30","H","G71.3","MIOPATIA MITOCHONDRIALNA NIESKLASYFIKOWANA GDZIE INDZIEJ"
"A30","H","G71.8","INNE PIERWOTNE ZABURZENIA MIĘŚNI"
"A30","H","G71.9","PIERWOTNE ZABURZENIA MIĘŚNI, NIE OKREŚLONE"
"A30","H","G72.0","MIOPATIA POLEKOWA"
"A30","H","G72.1","MIOPATIA ALKOHOLOWA"
"A30","H","G72.2","MIOPATIA WYWOŁANA INNYMI CZYNNIKAMI TOKSYCZNYMI"
"A30","H","G72.3","PORAŻENIE OKRESOWE"
"A30","H","G72.4","MIOPATIA ZAPALNA NIESKLASYFIKOWANA GDZIE INDZIEJ"
"A30","H","G72.8","INNE OKREŚLONE MIOPATIE"
"A30","H","G72.9","MIOPATIA, NIE OKREŚLONA"
